Country,Year,PLI,Real_Power_Index,Category,Dynamic_Category
Uzbekistan,1999,29.497896484419208,3.3900722396534277,Cheap,Cheap
Vanuatu,1999,70.64434552695845,1.4155414598871074,Moderate,Expensive
"Venezuela, RB",1999,36.58621359453779,2.733269999137864,Cheap,Cheap
Vietnam,1999,19.72001155656296,5.070990943041273,Cheap,Cheap
West Bank and Gaza,1999,51.5070000794078,1.941483678836489,Cheap,Moderate
"Yemen, Rep.",1999,16.111592923351022,6.206710936388354,Cheap,Cheap
Zambia,1999,21.13363225898781,4.731794268705113,Cheap,Cheap
Zimbabwe,1999,39.504180701444994,2.5313776472357565,Cheap,Moderate
Zambia,2016,37.39673816967354,2.6740300062077034,Cheap,Cheap
Zimbabwe,2016,50.32240911506125,1.9871862607243598,Cheap,Moderate
Zambia,2017,43.73905130781655,2.286286442205689,Cheap,Moderate
Zimbabwe,2017,48.941200971603394,2.043268207864819,Cheap,Moderate
"Venezuela, RB",2009,69.0498372761965,1.448229336153308,Moderate,Expensive
Vietnam,2009,30.76423392515982,3.250527877380925,Cheap,Cheap
Virgin Islands (U.S.),2009,94.8750167367391,1.0540182593852057,Moderate,Expensive
West Bank and Gaza,2009,58.1756174368296,1.7189331958287457,Cheap,Moderate
"Yemen, Rep.",2009,28.418477220554777,3.5188373825910375,Cheap,Cheap
Zambia,2009,39.55633945345336,2.5280397878492207,Cheap,Moderate
Zimbabwe,2009,50.35122745702751,1.986048901893116,Cheap,Moderate
Zambia,2018,42.52713099606362,2.351440072673987,Cheap,Moderate
Zimbabwe,2018,86.89748644828799,1.1507812721316077,Moderate,Expensive
West Bank and Gaza,2011,67.201765050687,1.4880561533551224,Moderate,Expensive
"Yemen, Rep.",2011,38.108868505265576,2.624061115490291,Cheap,Moderate
Zambia,2011,50.32908931924229,1.9869225005382136,Cheap,Moderate
Zimbabwe,2011,52.033537626266494,1.921837425666789,Cheap,Moderate
Zambia,2014,49.61724640313014,2.0154282482248234,Cheap,Moderate
Zimbabwe,2014,53.739681212978,1.8608223521774492,Cheap,Moderate
Zambia,2012,51.45124478438501,1.9435875734215298,Cheap,Moderate
Zimbabwe,2012,54.52654203089274,1.8339692244438253,Cheap,Moderate
Vanuatu,2002,67.19287502071825,1.4882530323217456,Moderate,Expensive
"Venezuela, RB",2002,33.431200157178736,2.991217770521075,Cheap,Cheap
Vietnam,2002,18.828103351697308,5.311209426252976,Cheap,Cheap
Virgin Islands (U.S.),2002,93.6119659369462,1.068239503348926,Moderate,Expensive
West Bank and Gaza,2002,55.63923307165089,1.7972929258608283,Cheap,Moderate
"Yemen, Rep.",2002,18.53869759951464,5.394122184862549,Cheap,Cheap
Zambia,2002,21.439875176481895,4.664206259451235,Cheap,Cheap
Zimbabwe,2002,38.39868153435225,2.6042560839110567,Cheap,Moderate
"Venezuela, RB",2010,82.5660686275175,1.2111512835997154,Moderate,Expensive
Vietnam,2010,31.232014257298932,3.201842800665025,Cheap,Cheap
Virgin Islands (U.S.),2010,95.9083441613723,1.0426621465984567,Moderate,Expensive
West Bank and Gaza,2010,65.0619664785983,1.5369962731282392,Moderate,Expensive
"Yemen, Rep.",2010,32.061943179948585,3.118962548175795,Cheap,Cheap
Zambia,2010,46.845176166067,2.134691513284061,Cheap,Moderate
Zimbabwe,2010,51.7851009932705,1.9310573520556629,Cheap,Moderate
Uzbekistan,2001,17.41173687607146,5.743252422877332,Cheap,Cheap
Vanuatu,2001,63.539514180102806,1.573823805396905,Moderate,Expensive
